Date,Product,Price
2024-01-01,Gym Membership,49.12
2024-01-01,Car Insurance,175.0
2024-01-01,Rent Payment,1450.0
2024-01-01,Electric Utility,95.0
2024-01-01,Student Loan,325.0
2024-01-01,Gas,54.63
2024-01-02,Clothing,39.98
2024-01-02,Personal Care,20.28
2024-01-03,Fast Food,12.15
2024-01-04,Uber Ride,10.7
2024-01-04,Clothing,70.57
2024-01-05,Online Shopping,30.23
2024-01-06,Gym Membership,41.3
2024-01-06,Streaming Service,14.74
2024-01-07,Restaurant Meal,43.97
2024-01-08,Gym Membership,56.17
2024-01-08,Fast Food,10.13
2024-01-09,Fast Food,8.68
2024-01-10,Uber Ride,20.26
2024-01-10,Online Shopping,46.41
2024-01-11,Gas,38.05
2024-01-12,Uber Ride,17.43
2024-01-12,Uber Ride,10.52
2024-01-13,Restaurant Meal,42.28
2024-01-14,Movie Ticket,13.55
2024-01-14,Online Shopping,59.75
2024-01-15,Coffee,4.94
2024-01-16,Uber Ride,17.8
2024-01-16,Bar/Drinks,36.4
2024-01-17,Home Supplies,19.62
2024-01-18,Movie Ticket,17.82
2024-01-18,Coffee,6.33
2024-01-19,Bar/Drinks,48.18
2024-01-20,Online Shopping,73.69
2024-01-20,Groceries,83.81
2024-01-21,Bar/Drinks,47.66
2024-01-22,Streaming Service,10.44
2024-01-22,Movie Ticket,13.18
2024-01-23,Clothing,28.39
2024-01-24,Bar/Drinks,29.76
2024-01-24,Phone Bill,65.55
2024-01-25,Groceries,54.42
2024-01-26,Fast Food,13.8
2024-01-26,Fast Food,10.5
2024-01-27,Personal Care,15.62
2024-01-28,Streaming Service,12.71
2024-01-28,Bar/Drinks,24.23
2024-01-29,Bar/Drinks,44.07
2024-01-30,Personal Care,11.49
