Date,Product,Price
2024-03-01,Online Shopping,37.67
2024-03-01,Car Insurance,175.0
2024-03-01,Rent Payment,1450.0
2024-03-01,Electric Utility,95.0
2024-03-01,Student Loan,325.0
2024-03-01,Gas,56.36
2024-03-02,Coffee,6.4
2024-03-02,Home Supplies,24.67
2024-03-03,Bar/Drinks,45.17
2024-03-04,Gas,44.04
2024-03-04,Groceries,111.74
2024-03-05,Online Shopping,33.72
2024-03-06,Gas,47.1
2024-03-06,Fast Food,12.61
2024-03-07,Phone Bill,58.64
2024-03-08,Uber Ride,24.73
2024-03-08,Uber Ride,11.38
2024-03-09,Gym Membership,53.26
2024-03-10,Streaming Service,11.34
2024-03-10,Gas,47.79
2024-03-11,Uber Ride,16.12
2024-03-12,Gas,44.82
2024-03-12,Gas,59.41
2024-03-13,Gym Membership,44.66
2024-03-14,Home Supplies,35.12
2024-03-14,Movie Ticket,15.76
2024-03-15,Online Shopping,64.37
2024-03-16,Movie Ticket,12.36
2024-03-16,Streaming Service,10.4
2024-03-17,Coffee,4.57
2024-03-18,Personal Care,26.43
2024-03-18,Phone Bill,88.47
2024-03-19,Uber Ride,19.14
2024-03-20,Online Shopping,26.63
2024-03-20,Home Supplies,16.3
2024-03-21,Movie Ticket,15.94
2024-03-22,Gas,56.16
2024-03-22,Groceries,110.43
2024-03-23,Fast Food,14.87
2024-03-24,Online Shopping,56.11
2024-03-24,Streaming Service,13.4
2024-03-25,Restaurant Meal,26.45
2024-03-26,Phone Bill,60.27
2024-03-26,Home Supplies,28.74
2024-03-27,Home Supplies,37.16
2024-03-28,Phone Bill,81.52
2024-03-28,Fast Food,8.08
2024-03-29,Gym Membership,53.17
2024-03-30,Fast Food,14.14
